genes,logFC,logCPM,PValue
SYNJ2,-0.00258018821451633,10.296257906067,0.370371951172639
SOD2,-0.0142432885587467,10.7835656922814,0.638692759816467
QKI,-0.361726376004908,11.2803259474474,3.31409507113748E-33
ACTB,0.183610343759891,12.3446977984268,8.77784679941793E-36
AIMP2,0.0615236056925129,10.2561923365338,0.150799109060006
ARL4A,-0.172778804391931,11.4248758098016,8.21255880195992E-19
MEOX2,-0.813416132830729,10.387082333694,8.08660059850018E-62
TWIST1,-0.000333502439950158,10.2127126661273,0.874316286440251
STEAP1B,-0.0184046497900227,10.337667560006,0.505083571442979
IL6,0.303992170879878,10.2911654902859,7.29575707537825E-09
FAM126A,-0.466433954313055,10.8127698270458,3.50333855937833E-36
CREB5,-0.316494813968546,10.8383852441807,1.204315848547E-16
AQP1,-0.0170739178624006,10.218893303822,0.84483471896413
ELMO1,-0.327038091006068,10.9267577609199,2.58742353476108E-22
EGFR,0.0712492029943428,10.2143351391306,3.31203287598183E-09
AUTS2,-0.158028813258472,10.9776189704561,0.00313146614141974
CLIP2,-0.308379864690916,10.4010044333997,1.35581156845863E-07
HSPB1,-0.0339627342543854,12.0609689936686,0.40759675300075
FGL2,-0.382791856127264,10.8972044448605,8.55989985734378E-36
MAGI2,-0.0951048567793578,10.3904991340533,0.0839152258234337
CD36,-0.223673179529661,10.9500677772807,3.6232298717116E-09
HGF,-0.150553914910083,10.3105404350241,0.0287949675301383
SEMA3A,-0.186393963376968,10.7536398850854,2.50461766653831E-05
SEMA3D,-0.27140724831623,10.6879158841185,9.57451843883852E-15
STEAP4,0.102134211390549,10.2163611539287,4.18893015329103E-08
CDK6,-0.305053644172213,10.4801282025105,5.6668352584447E-10
GNG11,-0.260595721470649,12.8637278501312,7.27823203939393E-77
COL1A2,-0.0243040160902419,10.2217479130303,0.479541499987638
PEG10,-0.555625349004091,10.3305130088881,2.90095097225164E-28
PDK4,0.69446774256023,10.708705488325,9.05827644621365E-59
AP4M1,-0.0981434661039475,10.2411881517414,0.00813264364857184
SERPINE1,0.211294648830498,10.5326512584155,9.98934167751825E-07
RELN,-0.306990822401495,10.8670228152254,1.02308677921688E-13
KMT2E,-0.354291022441841,11.3006041837917,1.37140589126387E-31
NAMPT,-0.360016475847658,11.0117247428626,4.16946391296832E-30
FOXP2,-0.0733974757783577,10.5174558208864,0.682892723345084
CAV1,-0.0645555007194545,12.0918640456689,0.000218171942806228
BRAF,-0.0436361554137525,10.6987753918454,0.404331844271118
GIMAP7,-0.0907473130742656,10.8203009149221,5.35120805419081E-05
ANGPT2,-0.585108040515343,10.9301172136638,6.51863409636317E-34
MSR1,-0.658532436156521,10.2601506331278,2.51421855818402E-50
STC1,-1.03912195857994,11.2826577016051,1.34921525767036E-110
DOCK5,-0.563695226803591,10.8007288981412,2.70849122842594E-58
CLU,0.319280670888238,12.2867763010992,5.11330242464213E-31
NRG1,-0.0696384281443906,10.2223496282341,0.032358117291703
PLAT,0.595495070697492,10.2934099908393,3.52419886625859E-32
CEBPD,0.502435102970194,12.0796283861767,1.89252508754077E-117
SOX17,0.00635671695091905,10.213747073428,0.463807219123746
RPS20,-0.165261196950964,11.8829031319068,1.8892704848619E-17
PENK,0.0310074694060289,10.2137728407429,0.00350465114297781
CA8,0.0590554250276395,10.2390048573782,0.1770457578322
CYP7B1,-0.305907940000476,10.2664164568354,9.20328427852094E-10
C8orf44-SGK3,-0.0705342140198305,10.2613221077451,0.132346263531684
FABP5,-0.0688456289399977,11.923180778686,0.137255978309401
FABP4,0.0458367279888491,12.4714001835515,0.173463280781013
GEM,-0.0455934853930448,10.2317132477077,0.19667591608979
RPL30,0.101225209623508,13.6835164764146,2.08488386337801E-23
ZFPM2,-0.352089443830943,11.1446409037167,4.23161976700103E-25
PKHD1L1,-0.433418187462916,11.3452934371305,7.8819662341723E-61
EXT1,-0.0682347396978433,10.8778876628881,0.73041222436133
HAS2,-0.00141601812000613,10.2124006226835,1
MYC,0.0726675875148123,10.5925523799856,0.00950549111764594
ASAP1,-0.0618723293562124,11.1335371971384,0.20545190435138
RPL8,-0.0845812955497806,12.8739362375312,2.60922371454659E-27
